target_h	actual_h	original_timestep	file
0.000000	0.000000000	0	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00000.vtu
6.000000	6.023083333	21683.1	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00006.vtu
12.000000	12.023083333	43283.1	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00012.vtu
18.000000	18.023083333	64883.1	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00018.vtu
24.000000	24.023083333	86483.1	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00024.vtu
30.000000	30.023055556	108083	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00030.vtu
36.000000	36.023055556	129683	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00036.vtu
42.000000	42.023055556	151283	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00042.vtu
48.000000	48.023055556	172883	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00048.vtu
54.000000	54.023055556	194483	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00054.vtu
60.000000	60.023055556	216083	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00060.vtu
66.000000	66.023055556	237683	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00066.vtu
72.000000	72.023055556	259283	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00072.vtu
78.000000	78.023055556	280883	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00078.vtu
84.000000	84.023055556	302483	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00084.vtu
90.000000	90.023055556	324083	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00090.vtu
96.000000	96.000000000	345600	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00096.vtu
102.000000	102.000000000	367200	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00102.vtu
108.000000	108.000000000	388800	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00108.vtu
114.000000	114.000000000	410400	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00114.vtu
120.000000	120.000000000	432000	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00120.vtu
126.000000	126.000000000	453600	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00126.vtu
132.000000	132.000000000	475200	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00132.vtu
138.000000	138.000000000	496800	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00138.vtu
144.000000	144.000000000	518400	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00144.vtu
150.000000	150.000000000	540000	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00150.vtu
156.000000	156.000000000	561600	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00156.vtu
162.000000	162.000000000	583200	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00162.vtu
168.000000	168.000000000	604800	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00168.vtu
174.000000	174.000000000	626400	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00174.vtu
180.000000	180.000000000	648000	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00180.vtu
186.000000	186.000000000	669600	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00186.vtu
192.000000	192.000000000	691200	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00192.vtu
198.000000	198.000000000	712800	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00198.vtu
204.000000	204.051944444	734587	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00204.vtu
210.000000	210.017222222	756062	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00210.vtu
216.000000	216.020000000	777672	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00216.vtu
222.000000	222.020000000	799272	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00222.vtu
228.000000	228.020000000	820872	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00228.vtu
234.000000	234.020000000	842472	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00234.vtu
240.000000	240.000000000	864000	drywell_head12m_faceSymDisp_continuouswet_240h_1h-00240.vtu
